"b_nr","generalite","autor","titel","publikation","band","jahr","seiten","ort","ae","zu_ae","cil","sonstigeCorpora","bearbeiter","datum"
"B011210","N","Monceaux, P. - Delattre, R.P.","Séance du 8 juillet.","BSAF","","1908","267-268","","1909, 0021.","","","","Feraudi","2007-08-31"
"B011211","N","Carton, L.","Séance du 15 juillet.","BSAF","","1908","283-285","","1909, 0022.","","","","Feraudi","2007-08-31"
"B011212","N","Monceaux, P. - Merlin, A.","Séance du 25 novembre.","BSAF","","1908","318-320","","1909, 0024.","","","","Feraudi","2007-08-31"
"B011213","N","Héron de Villefosse, A.","Séance du 22 juillet.","BSAF","","1908","291-293","","1909, 0023.","","","","Feraudi","2007-08-31"
"B011214","N","Reisch, E.","Die Statuenbasis des C. Sempronius Tuditanus.","JŒAI","11","1908","276-297","","1909, 0036.","","","","Feraudi","2007-09-11"
"B011215","N","de Ricci, S.","Lettres de M. Seymour de Ricci.","CRAI","","1908","791-804","","1909, 0033.","","","","Feraudi","2007-09-11"
"B011216","N","Gauckler, P.","Les fouilles du ""Lucus Furrinae"" à Rome.","CRAI","","1908","510-529","","1909, 0031; 1909, 0032.","","","","Feraudi","2007-09-11"
"B011217","N","Gatti, G.","Notizie di recenti trovamenti di antichità in Roma e nel suburbio.","BCAR","36","1908","86-108","","1909, 0027; 1909, 0028; 1909, 0029.","","","","Feraudi","2007-09-11"
"B011218","N","Tomassetti, G.","Scoperte Vaticane (con un cliché).","BCAR","36","1908","21-41","","1909, 0025.","","","","Feraudi","2007-09-11"
"B011219","N","Gatti, G.","Nuovo sigillo figulino trovato nel territorio di Sgurgola (con un cliché).","BCAR","36","1908","48-52","","1909, 0026.","","","","Feraudi","2007-09-11"
"B011220","N","Abramić, M.","Zwei Bronzebeschläge vom norisch-pannonischen Limes.","JŒAI (Beibl.)","12","1909","113-120","","1910, 0082; 1910, 0083.","","","","Feraudi","2007-09-12"
"B011221","N","Espérandieu, É.","Le temple de Moritasgus.","REA","12","1910","285-286","","1910, 0121; 1910, 0122.","","","","Gräf","2019-01-25"
"B011222","N","Helmke, P.","Bad Nauheim. Römisches Gebäude.","RGKB","2","1909","68-69","","1910, 0066.","","","","Feraudi","2007-09-12"
"B011223","N","Jalabert, L. - Mouterde, R.","Nouvelles inscriptions de Syrie.","MUB","4","1910","209-232","","1910, 0105; 1910, 0106; 1910, 0107.","","","","Feraudi","2007-09-12"
"B011224","N","Jullian, C.","Chronique gallo-romaine.","REA","12","1910","195-204. 295-308.","","1910, 0120; 1910, 0124; 1911, 0079.","","","ILGN 067.","Osnabrügge","2020-02-26"
"B011225","N","Lehner, H.","Neue Funde. Bonn. Kaiserstatuenbasen aus dem Prätorium des Legionslagers.","RGKB","3","1910","33-36","","1910, 0125; 1910, 0126.","","13, 12042; 12, 12043.","","Feraudi","2007-09-12"
"B011226","N","Oehler, J.","Römersteine in Gugging.","JŒAI (Beibl.)","12","1909","209-210.","","1910, 0102.","","","","Feraudi","2007-09-12"
"B011227","N","Poppelreuter, J. - von Domaszewski, A.","Köln. Altar der Vagdavercustis.","RGKB","3","1910","1-4","","1910, 0067.","","","","Feraudi","2007-09-12"
"B011228","N","Reinach, T.","Un nouveau sous-préfet romain de Tarantaise.","RA","15","1910","347-349","","1910, 0119.","","","","Feraudi","2007-09-12"
"B011229","N","von Domaszewski, A.","Köln. Neue Inschrift. Das Vivarium von Köln.","RGKB","2","1909","65","","1910, 0061.","","","","Gräf","2017-11-29"
"B011230","N","von Domaszewski, A.","Gürtelzierrat aus Aegypten in der Sammlung Golenischew.","RGKB","3","1910","9-10","","1910, 0068.","","","","Feraudi","2007-09-12"
"B011231","N","Gudea, N.","Legio VII Gemina în Dacia.","StCercIstorV","27","1976","109-114","","1977, 0664.","","","","Feraudi","2007-09-13"
"B011232","N","Petolescu, C.C.","Note epigrafice (Seria a II-a).","StCercIstorV","25","1974","595-604","","1977, 0670; 1977, 0671; 1977, 0707; 1977, 0707bis; 1977, 0709.","","","","Gräf","2011-10-06"
"B011233","N","Piso, I.","Epigraphica (IV).","Apulum","14","1976","441-454","","1977, 0690; 1977, 0691; 1977, 0692; 1977, 0692bis.","","","","Gräf","2011-10-06"
"B011234","N","Speidel, M.P.","A tribune of cohors III campestris.","Apulum","15","1977","631-633","","1977, 0700.","","","","Gräf","2011-09-26"
"B011235","N","Petolescu, C.C.","Marius Moga, Pagus Tibiscensis.","StCercIstorV","23","1972","495-498","","1977, 0697; 1977, 0698.","","","","Feraudi","2007-09-13"
"B011236","N","Wollmann, V.","Volks- und Kulturelemente im römischen Dakien.","Germania","53","1975","166-174","","1977, 0699; 1977, 07021; 1977, 0704.","","","","Feraudi","2007-09-13"
"B011237","N","Csallány, G.","Egy ujabban elökerült Jupiter Dolichenus emlékröl.","AErt","30","1910","181-182","","1910, 0153.","","03, 03316; 03, 03317.","","Feraudi","2016-07-19"
"B011238","N","Sogliano, A.","Regione I (Latium et Campania). Campania. V. Pompei. Relazione degli scavi eseguiti dal dicembre 1902 a tutto marzo 1905.","NSA","5","1908","271-298","","1909, 0044; 1909, 0045.","","","","Feraudi","2007-09-14"
"B011239","N","Vaglieri, D.","XXII. Roma. Nuove scoperte nella città e nel suburbio.","NSA","5","1908","323-328","","1909, 0046; 1909, 0047; 1909, 0048.","","","","Feraudi","2007-09-14"
"B011240","N","Vaglieri, D.","VI. Roma. Nuove scoperte nella città e nel suburbio.","NSA","5","1908","347-356","","1909, 0052.","","","","Feraudi","2007-09-14"
"B011241","N","Vaglieri, D.","III. Roma. Nuove soperte nella città e nel suburbio.","NSA","5","1908","262-270","","1909, 0267.","","","","Feraudi","2007-09-14"
"B011242","N","Vaglieri, D.","Regione I (Latium et Campania). XXIII. Ostia. Scoperte varie di antichità.","NSA","5","1908","329-336","","1909, 0049.","","","","Feraudi","2007-09-14"
"B011243","N","Vaglieri, D.","II. Roma. Nuove scoperte nella città e nel suburbio.","NSA","5","1908","382-390","","1909, 0060; 1909, 0061.","","","","Feraudi","2007-09-14"
"B011244","N","Giglioli, G.Q.","Regione I (Latium et Campania). Latium. Note epigrafiche relative ad alcune città del ""Latium novum"".","NSA","5","1908","391-398","","1909, 0062; 1909, 0063.","","","","Feraudi","2007-09-14"
"B011245","N","Gabrici, E.","Campania. VII. Teano. Avanzi di un grande edifizio termale dell'antico ""Teanum Sidicinum"", scoperti in contrada Santa Croce.","NSA","5","1908","399-416","","1909, 0064.","","","","Feraudi","2007-09-14"
"B011246","N","Kanzler, R.","I. Roma. Nuove scoperte nel suburbio.","NSA","5","1908","464-468","","1909, 0066.","","","","Feraudi","2007-09-14"
"B011247","N","Piganiol, A.","Note sur une inscription inédite de Tébessa.","MFRA","28","1908","341-344","","1909, 0037.","","08, 27854.","ILAlg 1, 3122; ILS 9089.","Gräf","2014-08-07"
"B011248","N","Russu, I.I.","Contribuţii epigrafice la istoria Daciei.","AnInstCluj","18","1975","47-70","","1977, 0662; 1977, 0663.","1922, 0065; 1958, 0233; 2000, 1258","03, 00953; 03, 01115; 03, 01605; 03, 07829; 03, 07917.","IDR 3, 2, 253; IDR 3, 3, 410; IDR 3, 4, 230; IDR 3, 5, 364; ILD 431; ILD 694; ILD 700; IScM 5, 064.","Gräf","2008-04-21"
"B011249","N","Blanchet, A.","Quelques découvertes de céramiques romaines dans la vallée du Danube.","RA","16","1940","29-45","","1941, p. 39 s. n. 123.","","03, 06287.","","Gräf","2007-09-18"
"B011250","N","Davidescu, M.","Cetatea romană de la Hinova. (Mit französischer Zusammenfassung)","","","1989","147 S.","Bucureşti","1992, 1475; 1992, 1476; 1992, 1477; 1992, 1478.","","","ILD 085.","Gräf","2007-09-18"
"B011251","N","Orlandi, S.","Un'iscrizione monumentale dall'area del teatro di Marcello.","In: G. Paci (Hrsg.), Contributi all'epigrafia d'età Augustea. Actes de la XIIIe Rencontre Franco-Italienne sur l'Èpigraphie du Monde Romain, Macerata 2005.","","2007","201-216","Tivoli","","1952, 0026.","06, 30681.","","Gräf","2008-12-08"
"B011252","N","Lukcsics, J.","A somlyóvásárhelyi római sirkőről.","AErt","28","1908","359-360","","1910, 0131.","","","RIU 0365.","Gräf","2007-09-19"
"B011253","N","Hekler, A.","Két aquincumi oltár.","AErt","28","1908","285","","1910, 0127.","","","TitAq 0261.","Feraudi","2015-03-26"
"B011254","N","Cserni, B.","M. U. Apollinaris praefectus emlékköve Apulumból.","AErt","29","1909","269-271","","1910, p. 36 s. n. 140.","","","IDR 3, 5, 438; ILS 9106.","Gräf","2008-04-07"
"B011255","N","Téglás, I.","Romok és leletek a tordai tündérhegyen.","AErt","30","1910","123-130","","1910, 0151.","","","ILD 470.","Gräf","2007-10-17"
"B011256","N","Téglás, I.","Levelezés.","AErt","29","1909","159-163","","1910, 0132.","","","ILD 604.","Gräf","2007-09-19"
"B011257","N","Tudor, D.","Obergermanische Vexillationen der legio XII Primigenia bei Romula in Dakien.","Germania","25","1941","239-241","","1945, 0077.","","","IDR 2, 325; IDR 2, 326.; ILD 135.","Gräf","2007-10-10"
"B011258","N","Forni, G.","Contributo alla storia della Dacia Romana.","Athenaeum","36","1958","3-29. 183-218","","1959, 0031.","","","","Gräf","2007-09-19"
"B011259","N","Héron de Villefosse, A.","11. juillet 1910. Séance de la section d'archéologie.","BCTH","","1910","CXLIII-CXLVIII","","1910, 0158.","","","","Gräf","2007-09-20"
"B011260","N","Gsell, S.","14. juin 1910. Séance de la Commission de l'Afrique du Nord.","BCTH","","1910","CCXIV-CCXXV","","1910, 0156; 1910, 0157.","","","","Gräf","2007-09-20"
"B011261","N","Merlin, A.","10. mai 1910. Séance de la Commission de l'Afrique du Nord.","BCTH","","1910","CCV-CCXIII","","1910, 0154; 1910, 0155.","","","IRT 872.","Gräf","2007-09-20"
"B011262","N","Vincent, H.","Chronique. Varia. Timbres romains.","RBi","7","1910","261-265","","1910, 0208; 1910, 0209.","","","","Gräf","2007-09-20"
"B011263","N","Jullian, C.","Un oracle d'Esculape.","REA","12","1910","388-389","","1911, 0078.","","","","Feraudi","2007-09-21"
"B011264","N","Jullian, C.","Séance du 13 Janvrier.","CRAI","","1911","12-13.","","1911, 0026.","","","","Feraudi","2007-09-21"
"B011265","N","Keil, J. - von Premerstein, A.","Bericht über eine zweite Reise in Lydien.","DAW","54","1911","1-161","","1911, 0134; 1911, 0146.","","","","Feraudi","2007-09-21"
"B011266","N","Kuzsinszky, B.","Alvilági istenek magyarországi római kőemlékeken.","AErt","27","1907","119-130","","1908, 0047.","","","IDR 3, 2, 199.","Gräf","2008-01-18"
"B011267","N","Albertini, E.","Inscription de Sasamón (Burgos).","CRAI","","1911","402-406","","1911, 0130.","","","","Gräf","2007-09-21"
"B011268","N","Besnier, M.","Séance du 23 septembre 1910.","CRAI","","1910","559-563","","1911, 0025.","","","","Gräf","2007-09-21"
"B011269","N","Merlin, A.","Séance du 2 Mars.","BSAF","","1910","198-199","","1911, 0019.","","","","Feraudi","2007-09-21"
"B011270","N","Mélida, J.R.","Inscripciones romanas de Mérida y Reina.","BAHist","58","1911","187-196","","1911, 0091.","","","","Feraudi","2007-09-21"
"B011271","N","Ornstein, J.","Római áldozati oltárrol szamosújvárott.","AErt","23","1903","61-62.","","1903, 0217.","","","ILD 589.","Gräf","2008-04-08"
"B011272","N","Téglás, G.","Dacische Militärstempel.","Hermes","44","1909","152-154","","1909, 0034; 1909, 0035.","","","","Gräf","2008-03-18"
"B011273","N","Téglás, G.","Fortuna salutaris és Jupiter szentélye Ampelumban, vagyis a mai Zalatnán.","AErt","22","1902","7-12","","1902, 0143.","","","IDR 3, 3, 303.","Gräf","2007-12-12"
"B011274","N","Téglás, G.","Zur Verwaltungsgeschichte der römischen Eisenbergwerke in Dakien.","Klio","9","1909","375-376","","1909, 0112.","","","IDR 3, 3, 037.","Gräf","2007-11-08"
"B011275","N","Vaglieri, D.","Varietà epigrafiche.","BCAR","","1910","322-335","","1911, 0127; 1911, 0128; 1911, 0129.","","","","Feraudi","2007-09-21"
"B011276","N","Wilson, H.L.","Latin inscriptions at the Johns Hopkins University. V.","AJPh","31","1910","251-264","","1911, 0001.","","","","Gräf","2009-03-20"
"B011277","N","Wünsch, R.","Die Laminae litteratae des Trierer Amphitheaters.","BJ","119","1910","1-12","","1911, 0149; 1911, 0150; 1911, 0151; 1911, 0152.","","","","Feraudi","2007-09-21"
"B011278","N","Wilson, H.L.","Latin inscriptions at the Johns Hopkins University. VI.","AJPh","32","1911","166-187","","1911, 0089.","","","","Gräf","2009-03-20"
"B011279","N","Chaillan, M.","Inscriptions de Fabregoules.","REA","13","1911","466","","1911, 0220.","","","","Gräf","2007-09-21"
"B011280","N","Cagnat, R. - Toutain, J.","Séance du 15 juin.","BSAF","","1910","275-278","","1911, 0022.","","","","Gräf","2007-09-21"
"B011281","N","Héron de Villefosse, A.","Une inscription chrétienne de Narbonne.","CRAI","","1911","14-17","","1911, 0027.","","","","Gräf","2007-09-21"
"B011282","N","Héron de Villefosse, A.","Séance de la section d'archéologie.","BCTH","","1910","CXXI-CXXVIII","","1911, 0008.","","","","Gräf","2007-09-21"
"B011283","N","Héron de Villefosse, A.","Séance du 23 novembre.","BSAF","","1910","356-357","","1911, 0122.","","","","Gräf","2007-09-21"
"B011284","N","Héron de Villefosse, A.","Séance du 14 décembre.","BSAF","","1910","368-370","","1911, 0123.","","","","Gräf","2007-09-21"
"B011285","N","Héron de Villefosse, A.","Séance du 20 avril.","BSAF","","1910","225-226","","1911, 0020.","","","","Gräf","2007-09-21"
"B011286","N","Delattre, P. - Monceaux, P.","Séance du 23 février.","BSAF","","1910","181-182","","1911, 0018.","","","","Gräf","2007-09-21"
"B011287","N","Delattre, P. - Monceaux, P.","Séance du 13 juillet.","BSAF","","1910","303","","1911, 0023; 1911, 0024.","","","","Gräf","2007-09-21"
"B011288","N","Héron de Villefosse, A.","Séance de la Commission de l'Afrique du Nord. 15 novembre 1910.","BCTH","","1910","CCXXXVI-CCXLIX","","1911, 0009.","","","","Gräf","2007-09-21"
"B011289","N","Egger, R.","Ausgrabungen in Kärnten.","JŒAI (Beibl.)","13","1910","130-176","","1911, 0162.","","","ILCV 1879.","Gräf","2014-01-31"
"B011290","N","Fita, F.","Nuevas lápidas romanas de Barbarin (Navarra), Villafranca de Montes de Oca y León.","BAHist","58","1911","223-232","","1911, 0092; 1911, 0093; 1911, 0094.","","","","Gräf","2007-09-21"
"B011291","N","Gnirs, A.","Forschungen in Pola.","JŒAI (Beibl.)","13","1910","177-198","","1911, 0163.","","","","Feraudi","2007-10-04"
"B011292","N","Hülsen, C.","Neues Fragment der Augustalfasten.","JŒAI (Beibl.)","13","1910","253-256","","1911, 0170.","","","","Gräf","2007-09-21"
"B011293","N","Haverfield, F.","A Roman inscribed tile from Plaxtol, Kent.","PSA","23","1909-1911","108-112","","1911, 0077.","","","","Gräf","2007-09-21"
"B011294","N","Jullian, C.","Chronique gallo-romaine.","REA","13","1911","91","","1911, 0081.","","","","Gräf","2007-09-21"
"B011295","N","Jullian, C.","Chronique gallo-romaine.","REA","12","1910","414-419","","1911, 0079; 1911, 0080.","","","","Gräf","2007-09-21"
"B011296","N","Rostovtzev, M.I.","Novija latinskija nadpisi să Juga Rossii.","IzvImpArchKomm","33","1909","1-22","","1910, 0161.","","","","Gräf","2007-09-26"
"B011297","N","Roussel, P. - Hatzfeld, J.","Fouilles de Délos.","BCH","34","1910","355-423","","1910, 0159.","","","","Gräf","2007-09-25"
"B011298","N","Szamosközy, I.","Analecta lapidum vetustorum et nonnullarum in Dacia antiquitatum, 1593.","","","1992","203","Szeged","1993, 1334.","","","","Feraudi","2007-09-27"
"B011299","N","Cociş, S. - Oloşutean, G.","Un nou altar votiv închinat lui Mercur la Alburnus Maior.","EphNapocensis","12","2003","167-170","","2003, 1479.","","","","Gräf","2015-04-22"
"B011300","N","Cociş, S. - Fodorean, F. - Ursuţiu, A. - Bârcă, V.","Villa rustica de pe dealul Lomb (Chinteni, Cluj - Napoca). (Mit englischer Zusammenfassung)","In: H. Pop - I. Bejinariu - S. Băcueţ-Crişan - D. Băcueţ-Crişan (Hrsg.), Identităţi culturale locale şi regionale în context european. Studii de arheologie şi antropologie istorică.","","2010","565-574","Cluj-Napoca","2011, 1077.","","","","Gräf","2015-06-01"
"B011301","N","Clerc, M.","Inscriptions des environs d'Aix.","REA","11","1909","49-52","","1909, 0070.","","","","Feraudi","2007-10-02"
"B011302","N","Zottoli, G.","Publio Paquio Proculo panattiere e supremo magistrato pompeiano.","RAL","17","1908","555-572","","1909, 0069.","","","","Feraudi","2007-10-02"
"B011303","N","Mestwerdt, G.","Nymwegen. Zweites römisches Gefäss mit 3 Medaillonbildern.","RGKB","2","1909","8-9","","1909, 0074.","","","","Feraudi","2007-10-02"
"B011304","N","Michaux-Bellaire, E.","Fouilles dans la nécropole romaine de Tanger.","RevMondMus","6","1908","419-432","","1909, 0071; 1909, 0072.","","","","Feraudi","2007-10-02"
"B011305","N","Maguelonne, J.","Chronique archéologique.","RSAC","43","1909","289-304","","1910, 0118.","","","","Feraudi","2007-10-02"
"B011306","N","Petolescu, C.C.","Note epigrafice. (Seria a II-a).","StCercIstorV","25","1974","595-604","","1977, 0714; 1977, 0715; 1977, 0717.","","","IDR 2, 192; IDR 2, 335; IDR 3, 4, 318; ILD 432.","Gräf","2008-02-07"
"B011307","N","Klinkenberg, J.","Niederbieber. Weihinschrift an den Genius capsariorum.","RGKB","4","1911","69-70","","1911, 0236.","","13, 11979.","ILS 9182.","Gräf","2019-12-18"
"B011308","N","Klinkenberg, J.","Muffendorf (bei Godesberg). Diana-Altar.","RGKB","4","1911","35-36","","1911, 0229.","","","","Feraudi","2007-10-04"
"B011309","N","Jacobs, J.","Günzburg a. Donau. Bauinschrift d. Kastells.","RGKB","4","1911","25-26","","1911, 0228.","","","IBR 196.","Osnabrügge","2017-08-03"
"B011310","N","Marx, F.","Stahl (Kr. Bitburg). Zwei Fibeln mit Inschrift.","RGKB","4","1911","22-23","","1911, 0223; 1911, 0224.","","","","Feraudi","2007-10-04"
"B011311","N","von Domaszewski, A.","Dulgubnii.","RGKB","3","1910","84-85","","1911, 0222.","1944, 0125.","","RIU 533.","Osnabrügge","2016-12-16"
"B011312","N","Fita, F.","Inscripciones murgitanas.","BAHist","57","1910","106-126","","1911, 0002.","","","","Feraudi","2007-10-04"
"B011313","N","Krüger, E.","Neue Funde. Niederemmel (Kreis Bernkastel). Römische Inschrift.","RGKB","3","1910","81-82","","1911, 0221.","","","","Feraudi","2007-10-04"
"B011314","N","Langford Wilson, H.","Latin inscriptions at the Johns Hopkins University. II.","AJPh","30","1909","61-71","","1909, 0091.","","","","Gräf","2009-03-20"
"B011315","N","Egbert, J.C.","Inscriptions from Rome and Central Italy.","MAAR","2","1908","263-290","","1909, 0075; 1909, 0076; 1909, 0077; 1909, 0078; 1909, 0079; 1909, 0080.","","","","Feraudi","2007-10-05"
"B011316","N","Degrassi, A.","Nuove iscrizioni della Dacia.","Epigraphica","4","1942","153-156","","1946, p. 41 s. n. 131.","","16, 00160; 16, 00163.","IDR 1, 001; IDR 1, 003.","Gräf","2007-10-08"
"B011317","N","Vel, A.","Quelques inscriptions de l'année 1909.","RSAC","43","1909","255-266","","1910, 0117.","","","","Gräf","2007-10-08"
"B011318","N","Daicoviciu, C.","O contribuţie la ""Prosopographia Imperii Romani saec. I-III.""","In: Închinare lui Nicolae Iorga. Cu prilejul implinirii vârstei de 60 de ani.","","1931","129-132","Cluj","1931, 0122; 1931, 0123; 1931, 0124.","","","IDR 3, 2, 085; IDR 3, 2, 086; IDR 3, 2, 087.","Gräf","2015-07-14"
"B011319","N","Tudor, D.","Monumente inedite din Romula.","BCM","28","1935","113-126","","1939, 0028.","","","IDR 2, 327; ILD 136.","Gräf","2007-10-10"
"B011320","N","Speidel, M.P.","Felix legio vestra. A building inscription from Romula-Malva.","ZPE","30","1978","119-122","","","1939, 0028.","","IDR 2, 327; ILD 136.","Gräf","2007-10-10"
"B011321","N","Krüger, E.","Ein gravierter Glasbecher mit Darstellung eines Wagenkämpfers aus Trier.","BJ","118","1909","353-369","","1910, 0164.","","","","Gräf","2007-10-10"
"B011322","N","Bang, M.","Cingius Severus.","Hermes","45","1910","627-630","","1910, 0163.","","","","Gräf","2007-10-10"
"B011323","N","Körber, K.","Mainz. Neue römische Inschriften.","RGKB","3","1910","52-54","","1910, 0210; 1910, 0211.","","13, 11857; 13, 11869.","","Gräf","2018-12-12"
"B011324","N","Piso, I.","Appendice I. Corpus epigraphicum.","In: I. Piso (Hrsg.), Le forum vetus de Sarmizegetusa.","1","2006","211-339","Bucureşti","2006, 1140; 2006, 1141; 2006, 1142; 2006, 1143, 2006, 1144; 2006, 1145; 2006, 1146; 2006, 1147; 2006, 1148; 2006, 1149; 2006, 1150; 2006, 1151; 2006, 1152; 2006, 1153; 2006, 1154; 2006, 1155; 2006, 1156; 2006, 1157; 2006, 1158; 2006, 1159; 2006, 1160; 2006, 1161; 2006, 1162; 2006, 1163; 2006, 1164; 2006, 1165; 2006, 1166; 2006, 1167; 2006, 1168; 2006, 1169; 2006, 1170; 2006, 1171; 2006, 1172.","1888, 0093; 1903, 0064; 1912, 0076; 1914, 0116; 1927, 0054; 1927, 0055; 1933, 0241; 1933, 0244; 1933, 0245; 1968, 0441; 1972, 0465; 1976, 0560; 1976, 0570; 1977, 0667; 1982, 0831; 1982, 0832; 1993, 1348; 1996, 1283; 1996, 1288; 1996, 1294; 1996, 1295; 1996, 1299; 1996, 1310; 1998, 1084; 1998, 1085; 1998, 1086; 1998, 1087; 2000, 1247; 2001, 1719; 2003, 1515; 2003, 1516; 2003, 1517; 2003, 1518; 2003, 1519; 2003, 1520; 2003, 1521; 2003, 1522; 2003, 1523; 2003, 1524a; 2003, 1524b; 2003, 1525; 2006, 1139.","03, 01424; 03, 01425; 03, 01426; 03, 01426 add. p. 1407; 03, 01443; 03, 01450; 03, 01509 add. p. 1016; 03, 01633, 15; 03, 01633, 16; 03, 01633, 17; 03, 06270; 03, 07905; 03, 07960; 03, 07969; 03, 08075, 1b; 03, 08075, 8; 03, 08075, 9; 03, 08075, 10b; 03, 08075, 15; 03, 12636.","IDR 2, 389; IDR 3, 2, 001; IDR 3, 2, 002; IDR 3, 2, 003; IDR 3, 2, 004; IDR 3, 2, 005; IDR 3, 2, 006; IDR 3, 2, 010; IDR 3, 2, 013; IDR 3, 2, 022; IDR 3, 2, 074; IDR 3, 2, 076; IDR 3, 2, 118; IDR 3, 2, 119; IDR 3, 2, 134; IDR 3, 2, 135; IDR 3, 2, 195; IDR 3, 2, 210; IDR 3, 2, 214; IDR 3, 2, 215; IDR 3, 2, 219; IDR 3, 2, 271; IDR 3, 2, 544A; IDR 3, 2, 544B; IDR 3, 2, 550; IDR 3, 2, 555; IDR 3, 2, 560; IDR 3, 2, 563; IDR 3, 2, 571; ILD 237; ILD 238; ILD 239; ILD 247; ILD 248; ILD 279; ILD 280; ILD 291; ILS 0370; ILS 7234; ILS 7136; ILS 7137.","Gräf","2009-12-09"
"B011325","N","Russu, I.I.","Titius Ianuarius centurio la Drobeta. (Mit französischer Zusammenfassung)","Drobeta","","1976","47-54","","1977, 0713.","","","IDR 2, 035; ILD 060.","Gräf","2007-10-11"
"B011326","N","De Pachtère, F.-G.","Les nouvelles fouilles d'Hippone.","MEFR","31","1911","321-347","","1911, 0171.","","","","Gräf","2007-10-11"
"B011327","N","Vaglieri, D.","IV. Ostia. Scoperte varie presso le porte e presso il teatro.","NSA","7","1910","374-377","","1911, 0070a; 1911, 0070b.","","","","Gräf","2007-10-11"
"B011328","N","Aurigemma, S.","Abbazia di San Domenico di Sora.","NSA","7","1910","294-304","","1911, 0067; 1911; 0068.","","","","Gräf","2007-10-11"
"B011329","N","Nardini, O.","V. Genzano di Roma. Rinvenimento di un cippo miliario della via Appia.","NSA","7","1910","292-293","","1911, 0066.","","","","Gräf","2007-10-11"
"B011330","N","Pasqui, A.","II. Montelibretti. Tratto di via antica e milliarium scoperto presso il Tevere.","NSA","7","1910","366-369","","1911, 0069.","","","","Gräf","2007-10-11"
"B011331","N","Točilescu, G.G.","Neue Inschriften aus Rumänien.","AEM","19","1896","213-229","","1897, 0083; 1897, 0085c; 1897, 0085d.","","03, 14216, 8.","IDR 2, 045; ILD 062.","Gräf","2008-04-08"
"B011332","N","Vaglieri, D.","Regione I (Latium et Campania). Latium. XVIII. Ostia. Nuove esplorazioni nell'area delle tombe e lungo la via principale.","NSA","8","1911","43-47","","1911, 0189; 1911, 0190.","","","","Gräf","2007-10-12"
"B011333","N","Pasqui, A.","XVII. Roma. Nuove scoperte nella città e nel suburbio.","NSA","8","1911","35-42","","1911, 0187; 1911, 0188.","","","","Gräf","2007-10-12"
"B011334","N","Mancini, G.","II. Roma. Nouve scoperte nella città e nel suburbio.","NSA","8","1911","63-75","","1911, 0191; 1911, 0192; 1911, 0193.","","","","Gräf","2007-10-12"
"B011335","N","Patroni, G.","Regione XI (Transpadana). I. Milano. Epigrafe romana rinvenuta in un cortile del Palazzo Sola-Busca sul Corso Venezia.","NSA","8","1911","3-4","","1911, 0181.","","","","Gräf","2007-10-12"
"B011336","N","Vaglieri, D.","Regione I (Latium et Campania). Latium. III. Ostia. Ricerche nell'area dei sepolcri e scoperte varie.","NSA","7","1910","549-555","","1911, 0179; 1911, 0180.","","","","Gräf","2007-10-15"
"B011337","N","Pasqui, A.","II. Roma. Nuove scoperte nella città e nel suburbio.","NSA","7","1910","546-549","","1911, 0177; 1911, 0178.","","","","Gräf","2007-10-15"
"B011338","N","Vaglieri, D.","Regione I (Latium et Campania). Latium. II. Ostia. Scoperte di antichità avvenute nel mese di novembre.","NSA","7","1910","513-517","","1911, 0175; 1911, 0176.","","","","Gräf","2007-10-15"
"B011339","N","Pasqui, A.","I. Roma. Nuove scoperte nella città e nel suburbio.","NSA","7","1910","487-494","","1911, 0174.","","","","Gräf","2009-03-20"
"B011340","N","Vaglieri, D.","Regione I (Latium et Campania). Latium. II. Ostia. Scoperte varie. Avanzi repubblicani.","NSA","8","1911","193-201","","1911, 0209; 1911, 0210; 1911, 0211; 1911, 0212.","","","","Gräf","2007-10-15"
"B011341","N","Mancini, G.","Nuove scoperte nella città e nel suburbio.","NSA","8","1911","191-193","","1911, 0208.","","","","Gräf","2007-10-25"
"B011342","N","Aurigemma, S.","Campania. XII. Alvignano. Tombe romane, scoperte nel territorio dell'antica Cubulteria.","NSA","8","1911","150-153","","1911, 0207.","","","","Gräf","2007-10-15"
"B011343","N","Aurigemma, S.","XI. Pignataro interamna (Interamna Lirenas). Epigrafi latine inedite.","NSA","8","1911","144-150","","1911, 0204; 1911, 0205; 1911, 0206.","","","","Gräf","2007-10-15"
"B011344","N","Ghislanzoni, E.","X. Segni. Scoperta di tombe fuori dell'abitato.","NSA","8","1911","144","","1911, 0203.","","","","Gräf","2007-10-15"
"B011345","N","Mancini, G.","VI. Roma. Nuove scoperte nella città e nel suburbio.","NSA","8","1911","131-140","","1911, 0198; 1911, 0199; 1911, 0200; 1911, 0201; 1911, 0202.","","","","Gräf","2007-10-15"
"B011346","N","Spano, G.","V. Pompei. Relazione degli scavi eseguiti negli anni 1908 e 1909 (Cfr. Notizie, 1910, p. 315).","NSA","7","1910","377-418","","1911, 0071; 1911, 0072; 1911, 0073.","","","","Gräf","2007-10-15"
"B011347","N","Vaglieri, D.","V. Ostia. Scavi presso le porte e intorno al teatro.","NSA","7","1910","167-188","","1911, 0058; 1911, 0059; 1911, 0060; 1911, 0061; 1911, 0062; 1911, 0063.","","","","Gräf","2007-10-15"
